AI,,,,,,,,,,,,,,,,,2,,,,102,99,99,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Answered: 99/102,,,,,Answered: 0/0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Question,Response,Comment,Analyst comment,Pass/Fail,Follow-up Question,Follow-up Response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.                    PRELIMINARIES,,,,,,,,,,,,,,,,,,,,293709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170835
"1.1. Could you please clarify the intended purpose, expected outcomes and specific outputs of the system or service of which AI techniques are an integral part of?","Yes — ML used for receipt extraction, classification, anomaly detection, invoice capture, audit checks, and certain generative?AI features via SAP BTP.","Joule (SAP Concur) uses machine learning to perform receipt/invoice/document extraction (OCR/NLP), field classification, anomaly detection, expense/invoice capture, audit checks and selected productivity features (assistive generative capabilities). Expected outputs are structured expense/invoice data (extracted fields such as date, merchant, amounts), classification labels, anomaly flags, and metadata to support AXA workflows and downstream processing.",,Pass,,,,,,,,,,,False,,0,True,False,293711,278856,"Yes — ML used for receipt extraction, classification, anomaly detection, invoice capture, audit checks, and certain generative?AI features via SAP BTP.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,190606
"1.2. What role(s) does your organisation play in the AI supply chain for the service/product being provided?
(Select all that apply)
AI Provider:  A natural or legal person, public authority, agency, or other body that develops an AI system or a general-purpose AI model, or has one developed, and places it on the market or puts it into service under its own name or trademark, whether for payment or free of charge.
AI Deployer:  A natural or legal person, public authority, agency, or other body using an AI system under its authority, except where the AI system is used in the course of a personal non-professional activity.
AI Importer:  A natural or legal person located or established in the Union that places on the market an AI system that bears the name or trademark of a natural or legal person established in a third country.
AI Distributor:  A natural or legal person in the supply chain, other than the provider or the importer, that makes an AI system available on the Union market.
Downstream Provider:  A provider of an AI system, including a general-purpose AI system, which integrates an AI model, regardless of whether the AI model is provided by themselves and vertically integrated or provided by another entity based on contractual relation.",No - AI Provider,"AI Provider — SAP Concur develops and operates Joule (the AI system) and places it into service under SAP Concur branding.
AI Deployer — SAP Concur deploys and operates the system for customers (including hosting, maintenance and operational support).
Not an AI Importer or Distributor by default for AXA engagements. If required by contract, reseller/distributor arrangements would be documented.",,Pass,,,,,,,,,,,False,,0,True,False,293712,278857,,,Yes - AI Provider,No - AI Provider,,,,,,,,,,,,,,,,,,,,,,,,,170836
,No - AI Deployer,,,,,,,,,,,,,,,,,,,,,,,Yes - AI Deployer,No - AI Deployer,,,,,,,,,,,,,,,,,,,,,,,,,
,No - AI Importer,,,,,,,,,,,,,,,,,,,,,,,Yes - AI Importer,No - AI Importer,,,,,,,,,,,,,,,,,,,,,,,,,
,No - AI Distributor,,,,,,,,,,,,,,,,,,,,,,,Yes - AI Distributor,No - AI Distributor,,,,,,,,,,,,,,,,,,,,,,,,,
,No - Downstream Provider,,,,,,,,,,,,,,,,,,,,,,0,Yes - Downstream Provider,No - Downstream Provider,,,,,,,,,,,,,,,,,,,,,,,,,
1.3. Does your existing AI Supply chain involve any third party ?,Yes,,,Pass,,,,,,,,,,,False,,0,True,False,293713,278858,Yes,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,170839
"If yes, please describe which of the following third parties are involved and their locations (select all that apply):
> AI provider(s) and their location(s)? 
> AI deployer(s) and their location(s)? 
> AI importer(s) and their location(s)? 
> AI distributor(s) and their location(s)? 
> AI downstream provider(s) and their location(s)?","Third parties include cloud infrastructure providers, managed service partners, and selected third?party component vendors (OCR/NLP libraries, monitoring tools). Locations and roles (subprocessor, vendor, etc.) are documented in the subprocessor/vendor list and vary by deployment (EU regions preferred for AXA by default).",https://support.sap.com/en/my-support/trust-center/subprocessors.html,,Pass,,,,,,,,,,,False,,0,True,False,293714,278859,"Third parties include cloud infrastructure providers, managed service partners, and selected third?party component vendors (OCR/NLP libraries, monitoring tools). Locations and roles (subprocessor, vendor, etc.) are documented in the subprocessor/vendor list and vary by deployment (EU regions preferred for AXA by default).",1,,,,,,,,,,,,,,,,,,,,,,,,,,,170840
"1.4. Is your company in charge of maintaining the AI system, correcting problems and intervening in its operations?",Yes,,,Pass,,,,,,,,,,,False,,0,True,False,293715,278860,Yes,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,190607
"If no, please specify who is in charge.",NA,,,Pass,,,,,,,,,,,False,,0,False,False,293716,278861,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,190608
"If yes, please explain how?","SAP Concur is responsible for maintenance, patching, monitoring, incident remediation and operational intervention for Joule under the support and SLA terms in the contract.",,,Pass,,,,,,,,,,,False,,0,False,False,293717,278862,"SAP Concur is responsible for maintenance, patching, monitoring, incident remediation and operational intervention for Joule under the support and SLA terms in the contract.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.5. Which, if any, ISO/IEC standard has been applied to AI System?","Controls are aligned with industry frameworks (security and privacy controls mapped to ISO/IEC 27001 and privacy controls aligned with ISO/IEC 27701 where applicable). Certification evidence (e.g., ISO/IEC 27001 certificate or similar attestations) can be provided on request if required for the engagement.",https://www.sap.com/about/trust-center/certification-compliance/compliance-finder.html?sort=latest_desc&tag=compliance-document:compliance-offering/soc-2&tag=compliance-document:compliance-entity/sap-concur,,Pass,,,,,,,,,,,False,,0,True,False,293718,278863,"Controls are aligned with industry frameworks (security and privacy controls mapped to ISO/IEC 27001 and privacy controls aligned with ISO/IEC 27701 where applicable). Certification evidence (e.g., ISO/IEC 27001 certificate or similar attestations) can be provided on request if required for the engagement.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,190609
1.6. Has the system which utilises AI Techiques been built in accordance with appropriate industry codes of conduct or best practice?,Yes,,,Pass,,,,,,,,,,,False,,0,True,False,293719,278864,Yes,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,190610
"If so, which ones?","Development follows SAP’s secure SDLC and responsible?AI best practices (privacy?by?design, secure development, model validation, bias mitigation). Applicable industry best practices and internal governance policies are applied throughout the lifecycle.
",,,Pass,,,,,,,,,,,False,,0,False,False,293720,278865,"Development follows SAP’s secure SDLC and responsible?AI best practices (privacy?by?design, secure development, model validation, bias mitigation). Applicable industry best practices and internal governance policies are applied throughout the lifecycle.
",1,,,,,,,,,,,,,,,,,,,,,,,,,,,190611
"1.7. Has your AI solution been developed with the use of, or include, third-party AI components, code libraries or similar?",Yes,"Joule uses third?party components (third?party OCR/NLP libraries, telemetry/monitoring libraries and cloud provider managed services). A detailed list of components and vendors is maintained and can be provided.",,Pass,,,,,,,,,,,False,,0,True,False,293721,278866,Yes,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,190612
"1.7.1. Could you please provide details about these components, including the vendors and their compliance certifications (if applicable)?","We maintain a vendor/component inventory (component name, vendor, purpose, hosting location, applicable certifications). For confidentiality and accuracy this inventory is provided under contract/ NDA or via the subprocessor disclosure. Examples of component categories: OCR/NLP engines, ML inference infra, logging/monitoring services, storage and key management.",,,Pass,,,,,,,,,,,False,,0,False,False,293722,278867,"We maintain a vendor/component inventory (component name, vendor, purpose, hosting location, applicable certifications). For confidentiality and accuracy this inventory is provided under contract/ NDA or via the subprocessor disclosure. Examples of component categories: OCR/NLP engines, ML inference infra, logging/monitoring services, storage and key management.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
